Symbol,Company Name,Sector
360ONE.NS,360 ONE WAM Ltd,Finance
3MINDIA.NS,3M India Ltd,Capital Goods
ABB.NS,ABB India Ltd,Capital Goods
ACC.NS,ACC Ltd,Cement
ACMESOLAR.NS,Acme Solar Holdings Ltd,Energy
AGI.NS,AGI Infra Ltd,Real Estate
AIAENG.NS,AIA Engineering Ltd,Capital Goods
APLAPOLLO.NS,APL Apollo Tubes Ltd,Metals
ASKAUTOLTD.NS,ASK Automotive Ltd,Auto Ancillary
AUBANK.NS,AU Small Finance Bank Ltd,Banking
AWL.NS,Adani Wilmar Ltd,FMCG
AADHARHFC.NS,Aadhar Housing Finance Ltd,Finance
AARTIDRUGS.NS,Aarti Drugs Ltd,Pharma
AARTIIND.NS,Aarti Industries Ltd,Chemicals
AARTIPHARM.NS,Aarti Pharmalabs Ltd,Pharma
AAVAS.NS,Aavas Financiers Ltd,Finance
ABBOTINDIA.NS,Abbott India Ltd,Pharma
ACE.NS,Action Construction Equipment Ltd,Capital Goods
ACUTAAS.NS,Acuitas Digital Solutions Ltd,Technology
ADANIENSOL.NS,Adani Energy Solutions Ltd,Energy
ADANIENT.NS,Adani Enterprises Ltd,Conglomerate
ADANIGREEN.NS,Adani Green Energy Ltd,Energy
ADANIPORTS.NS,Adani Ports and SEZ Ltd,Infrastructure
ADANIPOWER.NS,Adani Power Ltd,Energy
ATGL.NS,Adani Total Gas Ltd,Energy
ABCAPITAL.NS,Aditya Birla Capital Ltd,Finance
ABFRL.NS,Aditya Birla Fashion and Retail Ltd,Retail
ABLBL.NS,ABL Bio Ltd,Pharma
ABREL.NS,Aditya Birla Real Estate Ltd,Real Estate
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd,Finance
ADVENZYMES.NS,Advanced Enzyme Technologies Ltd,Pharma
AEGISLOG.NS,Aegis Logistics Ltd,Energy
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd,Energy
AETHER.NS,Aether Industries Ltd,Chemicals
AFCONS.NS,Afcons Infrastructure Ltd,Infrastructure
AFFLE.NS,Affle India Ltd,Technology
AHLUCONT.NS,Ahluwalia Contracts India Ltd,Infrastructure
AJANTPHARM.NS,Ajanta Pharma Ltd,Pharma
AJAXENGG.NS,Ajax Engineering Ltd,Capital Goods
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd,Pharma
AKZOINDIA.NS,Akzo Nobel India Ltd,Chemicals
APLLTD.NS,APL Ltd,Telecom
ALIVUS.NS,Alivus Life Sciences Ltd,Pharma
ALKEM.NS,Alkem Laboratories Ltd,Pharma
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd,Chemicals
ALLCARGO.NS,Allcargo Logistics Ltd,Logistics
ABDL.NS,Anmol Biscuits Ltd,FMCG
ALOKINDS.NS,Alok Industries Ltd,Textiles
ARE&M.NS,ARE&M,Other
AMBER.NS,Amber Enterprises India Ltd,Capital Goods
AMBUJACEM.NS,Ambuja Cements Ltd,Cement
ANANDRATHI.NS,Anand Rathi Wealth Ltd,Finance
ANANTRAJ.NS,Anant Raj Ltd,Real Estate
ANGELONE.NS,Angel One Ltd,Finance
ANURAS.NS,Anuras Foods Ltd,FMCG
APARINDS.NS,APAR Industries Ltd,Capital Goods
PARKHOTELS.NS,Apeejay Surrendra Park Hotels Ltd,Hospitality
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd,Healthcare
APOLLOTYRE.NS,Apollo Tyres Ltd,Auto Ancillary
APTUS.NS,Aptus Value Housing Finance India Ltd,Finance
ACI.NS,Archean Chemical Industries Ltd,Chemicals
ARVINDFASN.NS,Arvind Fashions Ltd,Retail
ARVIND.NS,Arvind Ltd,Textiles
ASAHIINDIA.NS,Asahi India Glass Ltd,Capital Goods
ASHOKLEY.NS,Ashok Leyland Ltd,Automobile
ASHOKA.NS,Ashoka Buildcon Ltd,Infrastructure
ASIANPAINT.NS,Asian Paints Ltd,Chemicals
ASTERDM.NS,Aster DM Healthcare Ltd,Healthcare
