Symbol,Company Name,Sector
360ONE,360 ONE WAM Ltd.,Financial Services
3MINDIA,3M India Ltd.,Diversified
ABB,ABB India Ltd.,Capital Goods
ACC,ACC Ltd.,Construction Materials
ACMESOLAR,ACME Solar Holdings Ltd.,Power
AGI,AGI Greenpac Ltd.,Capital Goods
AIAENG,AIA Engineering Ltd.,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods
ASKAUTOLTD,ASK Automotive Ltd.,Automobile and Auto Components
AUBANK,AU Small Finance Bank Ltd.,Financial Services
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare
AARTIIND,Aarti Industries Ltd.,Chemicals
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare
AAVAS,Aavas Financiers Ltd.,Financial Services
ABBOTINDIA,Abbott India Ltd.,Healthcare
ACE,Action Construction Equipment Ltd.,Capital Goods
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare
ADANIENSOL,Adani Energy Solutions Ltd.,Power
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER,Adani Power Ltd.,Power
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL,Aditya Birla Real Estate Ltd.,Forest Materials
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services
ADVENZYMES,Advanced Enzyme Tech Ltd.,Healthcare
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AETHER,Aether Industries Ltd.,Chemicals
AFCONS,Afcons Infrastructure Ltd.,Construction
AFFLE,Affle 3i Ltd.,Information Technology
AHLUCONT,Ahluwalia Contracts (India) Ltd.,Construction
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare
AJAXENGG,Ajax Engineering Ltd.,Capital Goods
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare
AKZOINDIA,Akzo Nobel India Ltd.,Consumer Durables
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare
ALIVUS,Alivus Life Sciences Ltd.,Healthcare
ALKEM,Alkem Laboratories Ltd.,Healthcare
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals
ALLCARGO,Allcargo Logistics Ltd.,Services
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods
ALOKINDS,Alok Industries Ltd.,Textiles
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
AMBER,Amber Enterprises India Ltd.,Consumer Durables
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ,Anant Raj Ltd.,Realty
ANGELONE,Angel One Ltd.,Financial Services
ANURAS,Anupam Rasayan India Ltd.,Chemicals
APARINDS,Apar Industries Ltd.,Capital Goods
PARKHOTELS,Apeejay Surrendra Park Hotels Ltd.,Consumer Services
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services
ACI,Archean Chemical Industries Ltd.,Chemicals
ARVINDFASN,Arvind Fashions Ltd.,Consumer Services
ARVIND,Arvind Ltd.,Textiles
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods
ASHOKA,Ashoka Buildcon Ltd.,Construction
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
ASTERDM,Aster DM Healthcare Ltd.,Healthcare
ASTRAMICRO,Astra Microwave Products Ltd.,Capital Goods
ASTRAZEN,AstraZenca Pharma India Ltd.,Healthcare
ASTRAL,Astral Ltd.,Capital Goods
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components
ATUL,Atul Ltd.,Chemicals
AURIONPRO,Aurionpro Solution Ltd.,Information Technology
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services
AVALON,Avalon Technologies Ltd.,Capital Goods
AVANTIFEED,Avanti Feeds Ltd.,Fast Moving Consumer Goods
DMART,Avenue Supermarts Ltd.,Consumer Services
CCAVENUE,AvenuesAI Ltd.,Financial Services
AWFIS,Awfis Space Solutions Ltd.,Services
AXISBANK,Axis Bank Ltd.,Financial Services
AZAD,Azad Engineering Ltd.,Capital Goods
BASF,BASF India Ltd.,Chemicals
BEML,BEML Ltd.,Capital Goods
BLS,BLS International Services Ltd.,Consumer Services
BSE,BSE Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJAJELEC,Bajaj Electricals Ltd,Consumer Durables
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services
BALAMINES,Balaji Amines Ltd.,Chemicals
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BALUFORGE,Balu Forge Industries Ltd.,Capital Goods
BANCOINDIA,Banco Products (India) Ltd.,Automobile and Auto Components
BANDHANBNK,Bandhan Bank Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BANKINDIA,Bank of India,Financial Services
MAHABANK,Bank of Maharashtra,Financial Services
BATAINDIA,Bata India Ltd.,Consumer Durables
BAYERCROP,Bayer Cropscience Ltd.,Chemicals
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables
BBL,Bharat Bijlee Ltd.,Capital Goods
BDL,Bharat Dynamics Ltd.,Capital Goods
BEL,Bharat Electronics Ltd.,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
BIOCON,Biocon Ltd.,Healthcare
BIRLACORPN,Birla Corporation Ltd.,Construction Materials
BSOFT,Birlasoft Ltd.,Information Technology
BLACKBUCK,Blackbuck Ltd.,Services
BLUEDART,Blue Dart Express Ltd.,Services
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare
BLUESTARCO,Blue Star Ltd.,Consumer Durables
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
BORORENEW,Borosil Renewables Ltd.,Capital Goods
BOSCH-HCIL,Bosch Home Comfort India Ltd.,Consumer Durables
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services
BRIGADE,Brigade Enterprises Ltd.,Realty
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CESC,CESC Ltd.,Power
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components
CMSINFO,CMS Info Systems Ltd.,Services
CRISIL,CRISIL Ltd.,Financial Services
CSBBANK,CSB Bank Ltd.,Financial Services
