Industry,Symbol
Financial Services,360ONE
Diversified,3MINDIA
Capital Goods,ABB
Construction Materials,ACC
Power,ACMESOLAR
Capital Goods,AGI
Capital Goods,AIAENG
Capital Goods,APLAPOLLO
Automobile and Auto Components,ASKAUTOLTD
Financial Services,AUBANK
Fast Moving Consumer Goods,AWL
Financial Services,AADHARHFC
Healthcare,AARTIDRUGS
Chemicals,AARTIIND
Healthcare,AARTIPHARM
Financial Services,AAVAS
Healthcare,ABBOTINDIA
Capital Goods,ACE
Healthcare,ACUTAAS
Power,ADANIENSOL
Metals & Mining,ADANIENT
Power,ADANIGREEN
Services,ADANIPORTS
Power,ADANIPOWER
Oil Gas & Consumable Fuels,ATGL
Financial Services,ABCAPITAL
Consumer Services,ABFRL
Consumer Services,ABLBL
Forest Materials,ABREL
Financial Services,ABSLAMC
Healthcare,ADVENZYMES
Oil Gas & Consumable Fuels,AEGISLOG
Oil Gas & Consumable Fuels,AEGISVOPAK
Chemicals,AETHER
Construction,AFCONS
Information Technology,AFFLE
Construction,AHLUCONT
Healthcare,AJANTPHARM
Capital Goods,AJAXENGG
Healthcare,AKUMS
Consumer Durables,AKZOINDIA
Healthcare,APLLTD
Healthcare,ALIVUS
Healthcare,ALKEM
Chemicals,ALKYLAMINE
Services,ALLCARGO
Fast Moving Consumer Goods,ABDL
Textiles,ALOKINDS
Automobile and Auto Components,ARE&M
Consumer Durables,AMBER
Construction Materials,AMBUJACEM
Financial Services,ANANDRATHI
Realty,ANANTRAJ
Financial Services,ANGELONE
Chemicals,ANURAS
Capital Goods,APARINDS
Consumer Services,PARKHOTELS
Healthcare,APOLLOHOSP
Automobile and Auto Components,APOLLOTYRE
Financial Services,APTUS
Chemicals,ACI
Consumer Services,ARVINDFASN
Textiles,ARVIND
Automobile and Auto Components,ASAHIINDIA
Capital Goods,ASHOKLEY
Construction,ASHOKA
Consumer Durables,ASIANPAINT
Healthcare,ASTERDM
Capital Goods,ASTRAMICRO
Healthcare,ASTRAZEN
Capital Goods,ASTRAL
Automobile and Auto Components,ATHERENERG
Chemicals,ATUL
Information Technology,AURIONPRO
Healthcare,AUROPHARMA
Financial Services,AIIL
Capital Goods,AVALON
Fast Moving Consumer Goods,AVANTIFEED
Consumer Services,DMART
Financial Services,CCAVENUE
Services,AWFIS
Financial Services,AXISBANK
Capital Goods,AZAD
Chemicals,BASF
Capital Goods,BEML
Consumer Services,BLS
Financial Services,BSE
Automobile and Auto Components,BAJAJ-AUTO
Consumer Durables,BAJAJELEC
Financial Services,BAJFINANCE
Financial Services,BAJAJFINSV
Financial Services,BAJAJHLDNG
Financial Services,BAJAJHFL
Chemicals,BALAMINES
Automobile and Auto Components,BALKRISIND
Fast Moving Consumer Goods,BALRAMCHIN
Capital Goods,BALUFORGE
Automobile and Auto Components,BANCOINDIA
Financial Services,BANDHANBNK
Financial Services,BANKBARODA
Financial Services,BANKINDIA
Financial Services,MAHABANK
Consumer Durables,BATAINDIA
Chemicals,BAYERCROP
Automobile and Auto Components,BELRISE
Consumer Durables,BERGEPAINT
Capital Goods,BBL
Capital Goods,BDL
Capital Goods,BEL
Automobile and Auto Components,BHARATFORG
Capital Goods,BHEL
Oil Gas & Consumable Fuels,BPCL
Telecommunication,BHARTIARTL
Telecommunication,BHARTIHEXA
Fast Moving Consumer Goods,BIKAJI
Healthcare,BIOCON
Construction Materials,BIRLACORPN
Information Technology,BSOFT
Services,BLACKBUCK
Services,BLUEDART
Healthcare,BLUEJET
Consumer Durables,BLUESTARCO
Fast Moving Consumer Goods,BBTC
Capital Goods,BORORENEW
Consumer Durables,BOSCH-HCIL
Automobile and Auto Components,BOSCHLTD
Consumer Services,FIRSTCRY
Realty,BRIGADE
Fast Moving Consumer Goods,BRITANNIA
Information Technology,MAPMYINDIA
Fast Moving Consumer Goods,CCL
Power,CESC
Capital Goods,CGPOWER
Automobile and Auto Components,CIEINDIA
Services,CMSINFO
Financial Services,CRISIL
Financial Services,CSBBANK
Consumer Durables,CAMPUS
Financial Services,CANFINHOME
Financial Services,CANBK
Healthcare,CAPLIPOINT
Financial Services,CGCL
Capital Goods,CARBORUNIV
Consumer Services,CARTRADE
Oil Gas & Consumable Fuels,CASTROLIND
Automobile and Auto Components,CEATLTD
Construction,CEIGALL
Consumer Durables,CELLO
Construction,CEMPRO
Financial Services,CENTRALBK
Financial Services,CDSL
Consumer Durables,CENTURYPLY
Consumer Durables,CERA
Consumer Services,CHALET
Chemicals,CHAMBLFERT
Oil Gas & Consumable Fuels,CHENNPETRO
Financial Services,CHOICEIN
Financial Services,CHOLAHLDNG
Financial Services,CHOLAFIN
Information Technology,CIGNITITEC
Healthcare,CIPLA
Financial Services,CUB
Chemicals,CLEAN
Oil Gas & Consumable Fuels,COALINDIA
Capital Goods,COCHINSHIP
Information Technology,COFORGE
Healthcare,COHANCE
Fast Moving Consumer Goods,COLPAL
Financial Services,CAMS
Healthcare,CONCORDBIO
Services,CONCOR
Chemicals,COROMANDEL
Automobile and Auto Components,CRAFTSMAN
Financial Services,CREDITACC
Consumer Durables,CROMPTON
Capital Goods,CUMMINSIND
Capital Goods,CYIENTDLM
Information Technology,CYIENT
Financial Services,DCBBANK
Diversified,DCMSHRIRAM
Realty,DLF
Fast Moving Consumer Goods,DOMS
Fast Moving Consumer Goods,DABUR
Construction Materials,DALBHARAT
Capital Goods,DATAPATTNS
Information Technology,DATAMATICS
Chemicals,DEEPAKFERT
Chemicals,DEEPAKNTR
Services,DELHIVERY
Consumer Services,DEVYANI
Chemicals,DHANUKA
Capital Goods,DIACABS
Construction,DBL
Healthcare,DCAL
Healthcare,DIVISLAB
Consumer Durables,DIXON
Fast Moving Consumer Goods,DODLA
Healthcare,AGARWALEYE
Healthcare,LALPATHLAB
Healthcare,DRREDDY
Services,DUMMYALCAR
Capital Goods,DYNAMATECH
Fast Moving Consumer Goods,EIDPARRY
Consumer Services,EIHOTEL
Capital Goods,EPL
Consumer Services,EASEMYTRIP
Financial Services,EDELWEISS
Automobile and Auto Components,EICHERMOT
Capital Goods,ELECON
Consumer Services,EMIL
Capital Goods,ELECTCAST
Capital Goods,ELGIEQUIP
Fast Moving Consumer Goods,EMAMILTD
Realty,EMBDL
Healthcare,EMCURE
Automobile and Auto Components,ENDURANCE
Construction,ENGINERSIN
Consumer Services,ENTERO
Utilities,EIEL
Chemicals,EPIGRAL
Financial Services,EQUITASBNK
Healthcare,ERIS
Capital Goods,ESCORTS
Consumer Services,ETERNAL
Consumer Durables,ETHOSLTD
Consumer Durables,EUREKAFORB
Automobile and Auto Components,EXIDEIND
Healthcare,FDC
Consumer Services,NYKAA
Financial Services,FEDERALBNK
Chemicals,FACT
Automobile and Auto Components,FIEMIND
Chemicals,FINEORG
Capital Goods,FINCABLES
Capital Goods,FINPIPE
Services,FSL
Financial Services,FIVESTAR
Automobile and Auto Components,FORCEMOT
Healthcare,FORTIS
Construction,GRINFRA
Oil Gas & Consumable Fuels,GAIL
Capital Goods,GVT&D
Chemicals,GHCL
Capital Goods,GMMPFAUDLR
Services,GMRAIRPORT
Power,GMRP&UI
Automobile and Auto Components,GABRIEL
Capital Goods,GALLANTT
Realty,GANESHHOU
Textiles,GANECOS
Capital Goods,GRSE
Capital Goods,GRWRHITECH
Textiles,GARFIBRES
Services,GATEWAY
Financial Services,GICRE
Fast Moving Consumer Goods,GILLETTE
Healthcare,GLAND
Healthcare,GLAXO
Healthcare,GLENMARK
Healthcare,MEDANTA
Financial Services,GODIGIT
Capital Goods,GPIL
Fast Moving Consumer Goods,GODFRYPHLP
Fast Moving Consumer Goods,GODREJAGRO
Fast Moving Consumer Goods,GODREJCP
Diversified,GODREJIND
Realty,GODREJPROP
Textiles,GOKEX
Healthcare,GRANULES
Capital Goods,GRAPHITE
Construction Materials,GRASIM
Metals & Mining,GRAVITA
Services,GESHIP
Capital Goods,GREAVESCOT
Consumer Durables,GREENPANEL
Fast Moving Consumer Goods,GAEL
Chemicals,FLUOROCHEM
Oil Gas & Consumable Fuels,GUJGASLTD
Metals & Mining,GMDCLTD
Chemicals,GNFC
Services,GPPL
Chemicals,GSFC
Oil Gas & Consumable Fuels,GSPL
Oil Gas & Consumable Fuels,GULFOILLUB
Capital Goods,HEG
Construction,HGINFRA
Capital Goods,HBLENGINE
Information Technology,HCLTECH
Financial Services,HDFCAMC
Financial Services,HDFCBANK
Financial Services,HDFCLIFE
Telecommunication,HFCL
Information Technology,HAPPSTMNDS
Consumer Durables,HAVELLS
Healthcare,HCG
Services,HEMIPROP
Fast Moving Consumer Goods,HERITGFOOD
Automobile and Auto Components,HEROMOTOCO
Information Technology,HEXT
Healthcare,HIKAL
Chemicals,HSCL
Metals & Mining,HINDALCO
Capital Goods,HAL
Construction,HCC
Metals & Mining,HINDCOPPER
Oil Gas & Consumable Fuels,HINDPETRO
