Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,LXCHEM.NS,Laxmi Organic Industries Ltd.,Chemicals,164.55,9.21,46561830,631364,73.748,16,2026-06-03
2,CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare,1201.5,3.03,6052710,240814,25.1344,16,2026-06-03
3,BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods,544.6,8.63,10381908,655296,15.8431,16,2026-06-03
4,RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods,377.45,9.52,7688300,664035,11.5782,16,2026-06-03
5,IFCI.NS,IFCI Ltd.,Financial Services,80.42,12.26,322252469,34080867,9.4555,16,2026-06-03
6,CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,1961.7,9.29,3224311,415973,7.7513,16,2026-06-03
7,MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,154.16,4.86,26014247,3577449,7.2717,16,2026-06-03
8,NHPC.NS,NHPC Ltd.,Power,75.1,3.89,170122103,28785310,5.91,16,2026-06-03
9,TEJASNET.NS,Tejas Networks Ltd.,Telecommunication,569.25,5.95,32809435,5771689,5.6845,16,2026-06-03
10,SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components,4049.9,-0.53,310410,56765,5.4683,16,2026-06-03
11,KPRMILL.NS,K.P.R. Mill Ltd.,Textiles,1085.8,8.68,1459339,268657,5.432,16,2026-06-03
12,NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,518.2,0.02,16035919,3063062,5.2353,16,2026-06-03
13,J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services,148.65,4.74,13142894,3064125,4.2893,16,2026-06-03
14,CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,1189.8,4.22,3459621,814379,4.2482,16,2026-06-03
15,ANUP.NS,The Anup Engineering Ltd.,Capital Goods,1934.7,3.44,121284,28792,4.2124,16,2026-06-03
16,FIEMIND.NS,Fiem Industries Ltd,Automobile and Auto Components,2347.0,3.24,187960,45163,4.1618,16,2026-06-03
17,BALAMINES.NS,Balaji Amines Ltd.,Chemicals,2122.2,5.26,3178345,784142,4.0533,16,2026-06-03
18,ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,1022.05,6.4,13213216,3571072,3.7001,16,2026-06-03
19,NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,934.5,-0.51,2605392,823222,3.1649,16,2026-06-03
