Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,599.1,1.04,4404669,357824,12.3096,16,2026-03-23
2,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,946.9,-6.24,8949441,1425148,6.2797,16,2026-03-23
3,JKIL.NS,J.Kumar Infraprojects Ltd.,Construction,460.8,-5.63,946576,189863,4.9856,16,2026-03-23
4,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,220.97,-11.92,29535930,6238468,4.7345,16,2026-03-23
5,VTL.NS,Vardhman Textiles Ltd.,Textiles,538.8,1.11,1910030,434024,4.4007,16,2026-03-23
6,ENTERO.NS,Entero Healthcare Solutions Ltd.,Consumer Services,1161.3,3.6,317883,76796,4.1393,16,2026-03-23
7,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,201.36,-3.58,6033111,1556755,3.8754,16,2026-03-23
8,NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,34.34,-6.43,12961289,3410841,3.8,16,2026-03-23
9,EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods,401.7,-0.26,2160120,615991,3.5067,16,2026-03-23
10,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,175.34,-1.79,3114003,918128,3.3917,16,2026-03-23
11,OPTIEMUS.NS,Optiemus Infracom Ltd.,Telecommunication,323.45,-3.22,821366,243258,3.3765,16,2026-03-23
12,ASTRAZEN.NS,AstraZenca Pharma India Ltd.,Healthcare,8154.5,-2.0,16037,5097,3.1464,16,2026-03-23
13,WEBELSOLAR.NS,Websol Energy System Ltd.,Capital Goods,76.56,2.28,36476005,12017003,3.0354,16,2026-03-23
14,CIGNITITEC.NS,Cigniti Technologies Ltd.,Information Technology,1073.4,0.48,211204,70460,2.9975,16,2026-03-23
15,TRIDENT.NS,Trident Ltd.,Textiles,25.05,3.3,46328277,15467668,2.9952,16,2026-03-23
16,BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,341.3,-4.65,1654897,565843,2.9247,16,2026-03-23
17,TRITURBINE.NS,Triveni Turbine Ltd.,Capital Goods,435.25,-4.58,711815,251522,2.83,16,2026-03-23
18,THYROCARE.NS,Thyrocare Technologies Ltd.,Healthcare,373.3,6.25,1032537,369769,2.7924,16,2026-03-23
19,LUXIND.NS,Lux Industries Ltd.,Textiles,926.35,-1.57,149450,54337,2.7504,16,2026-03-23
